"language_code","term","language_name","term_source","wikipedia_translated_term","coding_dh_date","exclude_google_cloud_translate","gt_translated_term","exclude_easynmt","enmt_translated_term","exclude_lingvanex","lingvanex_translated_term","exclude_ollama","ollama_system_prompt","ollama_user_prompt","ollama_content","ollama_model","ollama_created_at","ollama_total_duration","ollama_load_duration","ollama_prompt_eval_count","ollama_prompt_eval_duration","ollama_eval_count","ollama_eval_duration","ollama_done_reason","ollama_translated_term","ollama_translation_rationale","ollama_extracted_dictionaries","ollama_translation","coding_dh_date_x","coding_dh_date_y","family_name"
"ff","","Fula","Digital Humanities","","2026-04-18 19:25:17","False","Neɗɗaŋke Dijital","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Fula (ISO code: ff). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Tegemoli Digitool"",
  ""translation_rationale"": ""Literally 'Digital Humanities' in Fula, using a combination of French and English loanwords common in West African languages""
}","llama3.1","2026-04-19T00:25:17.345191Z","935511542.0","58289375.0","73.0","315100958.0","48.0","548292796.0","stop","Tegemoli Digitool","Literally 'Digital Humanities' in Fula, using a combination of French and English loanwords common in West African languages","[]","","","","Niger-Kordofanian languages"
"ext","","Extremaduran","Digital Humanities","","2026-04-18 19:25:14","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Extremaduran (ISO code: ext). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Humanidades Digitales"",
  ""translation_rationale"": ""Term translated following the linguistic guidelines for Extremaduran, a Romance language spoken in Spain""
}","llama3.1","2026-04-19T00:25:14.394589Z","858853291.0","84031000.0","75.0","305278250.0","40.0","457969333.0","stop","Humanidades Digitales","Term translated following the linguistic guidelines for Extremaduran, a Romance language spoken in Spain","[]","","","","Indo-European languages"
"et","","Estonian","Digital Humanities","Digihumanitaaria","2026-04-18 19:25:11","False","Digitaalsed humanitaarteadused","False","Digitaalsed humanitaarteadused","False","Digitaalhumanitaaria","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Estonian (ISO code: et). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Digitaalne Humanitaaria"",
  ""translation_rationale"": ""Combining 'digitaalne' (digital) with the Estonian adaptation of 'Humanities'""
}","llama3.1","2026-04-19T00:25:11.513667Z","895184542.0","68043542.0","73.0","295933584.0","45.0","518268287.0","stop","Digitaalne Humanitaaria","Combining 'digitaalne' (digital) with the Estonian adaptation of 'Humanities'","[]","","","","Uralic languages"
"eo","","Esperanto","Digital Humanities","","2026-04-18 19:25:05","False","Ciferecaj Homstudoj","False","Ciferecaj homoj","False","Ciferecaj Homaroj","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Esperanto (ISO code: eo). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Dokumenta Humanismo"",
  ""translation_rationale"": ""Translating 'Digital Humanities' into Esperanto involves combining the root words for 'document' and 'humanism', resulting in a term that conveys the essence of this interdisciplinary field.""
}","llama3.1","2026-04-19T00:25:05.74839Z","1104574583.0","77127542.0","73.0","303710042.0","61.0","706585003.0","stop","Dokumenta Humanismo","Translating 'Digital Humanities' into Esperanto involves combining the root words for 'document' and 'humanism', resulting in a term that conveys the essence of this interdisciplinary field.","[]","","","","Artificial languages"
"en","Digital Humanities","English","Digital Humanities","digital humanities","2026-04-18 19:25:02","False","Digital Humanities","True","","False","Digital Humanities","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into English (ISO code: en). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Humanités numériques"",
  ""translation_rationale"": ""French term, equivalent to English""
}","llama3.1","2026-04-19T00:25:02.627245Z","710769375.0","71770459.0","72.0","301809875.0","29.0","328654123.0","stop","Humanités numériques","French term, equivalent to English","[]","","","","Indo-European languages"
"ee","","Ewe","Digital Humanities","","2026-04-18 19:24:56","False","Digitál Amegbetɔŋutinunya","False","Internet Dzi Nu Siwo Gbɔ Míaƒe Ŋutete Ŋu Tsoe","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Ewe (ISO code: ee). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Nɔwɛkpɛ wɔtɖam"", ""translation_rationale"": ""A combination of Ewe words 'nɔwɛkpɛ' (digital) and 'wɔtɖam' (humanities)""}","llama3.1","2026-04-19T00:24:56.820925Z","1117447834.0","69533500.0","73.0","295171583.0","64.0","735537042.0","stop","Nɔwɛkpɛ wɔtɖam","A combination of Ewe words 'nɔwɛkpɛ' (digital) and 'wɔtɖam' (humanities)","[{'translated_term': 'Nɔwɛkpɛ wɔtɖam', 'translation_rationale': ""A combination of Ewe words 'nɔwɛkpɛ' (digital) and 'wɔtɖam' (humanities)""}]","Nɔwɛkpɛ wɔtɖam","","","Niger-Kordofanian languages"
"dsb","","Lower Sorbian","Digital Humanities","","2026-04-18 19:24:48","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Lower Sorbian (ISO code: dsb). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Cyberhumanistyka"",
  ""translation_rationale"": ""Combination of German 'Digital' and Polish/Latin influence in humanities terminology, which is also present in other Slavic languages""
}","llama3.1","2026-04-19T00:24:48.148833Z","950405625.0","73958833.0","75.0","309665417.0","48.0","552829291.0","stop","Cyberhumanistyka","Combination of German 'Digital' and Polish/Latin influence in humanities terminology, which is also present in other Slavic languages","[]","","","","Indo-European languages"
"diq","","Dimli","Digital Humanities","","2026-04-18 19:24:45","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Dimli (ISO code: diq). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Dijital insaniya wustiya"", ""translation_rationale"": ""Compound noun combining 'dijital' (digital) and 'insaniya' (humanities/ sciences) with the suffix '-wustiya', which is a Dimli adaptation of the Turkish suffix '-bilimi' or '-wistiyâ'.""}","llama3.1","2026-04-19T00:24:45.175224Z","1284148375.0","79609666.0","74.0","304478208.0","76.0","878935081.0","stop","Dijital insaniya wustiya","Compound noun combining 'dijital' (digital) and 'insaniya' (humanities/ sciences) with the suffix '-wustiya', which is a Dimli adaptation of the Turkish suffix '-bilimi' or '-wistiyâ'.","[{'translated_term': 'Dijital insaniya wustiya', 'translation_rationale': ""Compound noun combining 'dijital' (digital) and 'insaniya' (humanities/ sciences) with the suffix '-wustiya', which is a Dimli adaptation of the Turkish suffix '-bilimi' or '-wistiyâ'.""}]","Dijital insaniya wustiya","","","Indo-European languages"
"de","digitale Geisteswissenschaften","German","Digital Humanities","Digital Humanities","2026-04-18 19:24:41","False","Digitale Geisteswissenschaften","False","Digitale Geisteswissenschaften","False","Digitale Geisteswissenschaften","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into German (ISO code: de). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Digitale Geisteswissenschaften"",
  ""translation_rationale"": ""Combining 'digital' and the German term for Humanities, which is 'Geisteswissenschaften', referring to disciplines such as history, philosophy, or languages.""
}","llama3.1","2026-04-19T00:24:41.865389Z","1058288375.0","75203458.0","72.0","309546000.0","57.0","657625959.0","stop","Digitale Geisteswissenschaften","Combining 'digital' and the German term for Humanities, which is 'Geisteswissenschaften', referring to disciplines such as history, philosophy, or languages.","[]","","","","Indo-European languages"
"da","","Danish","Digital Humanities","","2026-04-18 19:24:38","False","Digitale humaniora","False","Digitale humaniora","False","Digital humaniora","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Danish (ISO code: da). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Digital humaniora"",
  ""translation_rationale"": ""The term 'Humanities' is often translated as 'humaniora', which refers to the study of the humanities in general.""
}","llama3.1","2026-04-19T00:24:38.786157Z","924461084.0","73257667.0","72.0","297687042.0","47.0","540192920.0","stop","Digital humaniora","The term 'Humanities' is often translated as 'humaniora', which refers to the study of the humanities in general.","[]","","","","Indo-European languages"
"cy","Dyniaethau digidol","Welsh","Digital Humanities","Dyniaethau digidol","2026-04-18 19:24:35","False","Dyniaethau Digidol","False","Person UnigolCity name (optional, probably does not need a translation)","False","Dyniaethau Digidol","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Welsh (ISO code: cy). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Ddigiteithrwydd Ddysgedig"",
  ""translation_rationale"": ""Combining 'ddigiteithrwydd' (digital) with 'dysgeidiaeth' (humanities)""
}","llama3.1","2026-04-19T00:24:35.838137Z","1041513750.0","73768000.0","72.0","312029583.0","55.0","640003084.0","stop","Ddigiteithrwydd Ddysgedig","Combining 'ddigiteithrwydd' (digital) with 'dysgeidiaeth' (humanities)","[]","","","","Indo-European languages"
"cv","","Chuvash","Digital Humanities","","2026-04-18 19:24:32","False","Цифра гуманитари","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Chuvash (ISO code: cv). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Çĕнетекен чăваш халаплаши"",
  ""translation_rationale"": ""Breakdown of the original term into its components and translation in Chuvash: Çĕнетекен (digital), чăваш (Chuvash), хала-паши (humanities)""
}","llama3.1","2026-04-19T00:24:32.771708Z","1260203167.0","71763125.0","74.0","299608000.0","75.0","867220833.0","stop","Çĕнетекен чăваш халаплаши","Breakdown of the original term into its components and translation in Chuvash: Çĕнетекен (digital), чăваш (Chuvash), хала-паши (humanities)","[]","","","","Altaic languages"
"csb","","Kashubian","Digital Humanities","","2026-04-18 19:24:26","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Kashubian (ISO code: csb). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Humanistyka Digitalnô"",
  ""translation_rationale"": ""borrowing from Polish, as Kashubian language is a Slavic language closely related to Polish""
}","llama3.1","2026-04-19T00:24:26.398995Z","907111500.0","76813250.0","75.0","322110000.0","43.0","495585169.0","stop","Humanistyka Digitalnô","borrowing from Polish, as Kashubian language is a Slavic language closely related to Polish","[]","","","","Indo-European languages"
"cs","","Czech","Digital Humanities","Digitální humanitní vědy","2026-04-18 19:24:23","False","Digitální humanitní vědy","False","Digitální humanity","False","Digitální humanitní vědy","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Czech (ISO code: cs). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Digitální humanitní vzdělání"", ""translation_rationale"": ""Literally 'digital humanities' with each word translated.""}","llama3.1","2026-04-19T00:24:23.476061Z","760272375.0","72310125.0","72.0","302853083.0","33.0","375220331.0","stop","Digitální humanitní vzdělání","Literally 'digital humanities' with each word translated.","[{'translated_term': 'Digitální humanitní vzdělání', 'translation_rationale': ""Literally 'digital humanities' with each word translated.""}]","Digitální humanitní vzdělání","","","Indo-European languages"
"co","","Corsican","Digital Humanities","","2026-04-18 19:24:17","False","Umanità Digitale","True","","False","Umanità digitale","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Corsican (ISO code: co). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Umanità Digitàli"",
  ""translation_rationale"": ""Combining Corsican roots 'umanità' (humanity) and 'digitàli' (digital)""
}","llama3.1","2026-04-19T00:24:17.942746Z","908937375.0","63783166.0","73.0","317951083.0","45.0","514628455.0","stop","Umanità Digitàli","Combining Corsican roots 'umanità' (humanity) and 'digitàli' (digital)","[]","","","","Indo-European languages"
"cho","","Choctaw","Digital Humanities","","2026-04-18 19:24:04","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Choctaw (ISO code: cho). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Dabikoli okli"",
  ""translation_rationale"": ""Breakdown of 'Digital Humanities' into Choctaw, combining 'dabi' (new or modern), 'koli' (word or language) and the suffix '-li' (indicating a field or study)""
}","llama3.1","2026-04-19T00:24:04.623431Z","1188354625.0","82986833.0","74.0","298762792.0","68.0","787391747.0","stop","Dabikoli okli","Breakdown of 'Digital Humanities' into Choctaw, combining 'dabi' (new or modern), 'koli' (word or language) and the suffix '-li' (indicating a field or study)","[]","","","","North American Indian languages"
"ch","","Chamorro","Digital Humanities","","2026-04-18 19:24:01","False","Digital Humanities","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Chamorro (ISO code: ch). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Famalåo digital"",
  ""translation_rationale"": ""Combining Chamorro 'familao' (digital) and the Spanish-influenced word order""
}","llama3.1","2026-04-19T00:24:01.414651Z","886891875.0","75803500.0","73.0","295265459.0","44.0","503193710.0","stop","Famalåo digital","Combining Chamorro 'familao' (digital) and the Spanish-influenced word order","[]","","","","Austronesian languages"
"ceb","","Cebuano","Digital Humanities","","2026-04-18 19:23:58","False","Digital nga mga Humanidad","False","Digital nga mga Tawhanon","False","Digital Humanities","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Cebuano (ISO code: ceb). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Digitalong Humanidades"",
  ""translation_rationale"": ""Combination of Cebuano words 'digital' and 'humanidades', following the original phrase's structure""
}","llama3.1","2026-04-19T00:23:58.507441Z","891166458.0","77043666.0","76.0","298187833.0","44.0","502991086.0","stop","Digitalong Humanidades","Combination of Cebuano words 'digital' and 'humanidades', following the original phrase's structure","[]","","","","Austronesian languages"
"ce","","Chechen","Digital Humanities","","2026-04-18 19:23:55","False","Терахьийн гуманитаран Ӏилманаш","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Chechen (ISO code: ce). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Дигиталонна гуманитарийон"", ""translation_rationale"": ""Combination of Chechen words for 'digital' (дигиталон) and 'humanities' (гуманитарийон), using the suffix '-он' to form a noun""}","llama3.1","2026-04-19T00:23:55.590302Z","1175613000.0","70483125.0","73.0","297030708.0","67.0","788885543.0","stop","Дигиталонна гуманитарийон","Combination of Chechen words for 'digital' (дигиталон) and 'humanities' (гуманитарийон), using the suffix '-он' to form a noun","[{'translated_term': 'Дигиталонна гуманитарийон', 'translation_rationale': ""Combination of Chechen words for 'digital' (дигиталон) and 'humanities' (гуманитарийон), using the suffix '-он' to form a noun""}]","Дигиталонна гуманитарийон","","","Caucasian languages"
"bxr","","Buriat (Russia)","Digital Humanities","","2026-04-18 19:23:52","False","Тоон гуманитарна эрдэмүүд","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Buriat (Russia) (ISO code: bxr). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""\u0424\u043e\u0440\u043c\u0438\u0446\u043d\u044b\u0439 \u0413\u0443\u043c\u0430\u043d\u0438\u0442\u0435\u0437"", ""translation_rationale"": ""Literally 'Digital Humanities' broken down into Buriat components: \u0424\u043e\u0440\u043c\u0438\u0446\u043d\u044b\u0439 = digital (from Russian), \u0413\u0443\u043c\u0430\u043d\u0438\u0442\u0435\u0437 = humanities (from Russian)""}","llama3.1","2026-04-19T00:23:52.397055Z","2168363708.0","75155083.0","78.0","295458167.0","151.0","1759084785.0","stop","Формицный Гуманитез","Literally 'Digital Humanities' broken down into Buriat components: Формицный = digital (from Russian), Гуманитез = humanities (from Russian)","[{'translated_term': 'Формицный Гуманитез', 'translation_rationale': ""Literally 'Digital Humanities' broken down into Buriat components: Формицный = digital (from Russian), Гуманитез = humanities (from Russian)""}]","Формицный Гуманитез","","","Altaic languages"
"bug","","Buginese","Digital Humanities","","2026-04-18 19:23:48","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Buginese (ISO code: bug). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Humanitas Digital"",
  ""translation_rationale"": ""Combination of Buginese words for 'digital' and 'humanities', using a Latin-derived suffix (-itas) common in Indonesian languages""
}","llama3.1","2026-04-19T00:23:48.209608Z","968593458.0","101917375.0","73.0","300899083.0","48.0","551782628.0","stop","Humanitas Digital","Combination of Buginese words for 'digital' and 'humanities', using a Latin-derived suffix (-itas) common in Indonesian languages","[]","","","","Austronesian languages"
"bs","","Bosnian","Digital Humanities","","2026-04-18 19:23:45","False","Digitalne humanističke nauke","True","","False","Digital Humanities","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Bosnian (ISO code: bs). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Dijitalne Umetnosti"",
  ""translation_rationale"": ""Combining 'dijital' (digital) and 'umetnosti' (arts)""
}","llama3.1","2026-04-19T00:23:45.217792Z","942988292.0","69268459.0","74.0","328493833.0","43.0","531452958.0","stop","Dijitalne Umetnosti","Combining 'dijital' (digital) and 'umetnosti' (arts)","[]","","","","Indo-European languages"
"br","","Breton","Digital Humanities","","2026-04-18 19:23:39","False","Skiantoù mab-den niverel","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Breton (ISO code: br). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Digelezhioù Lennegezh"", ""translation_rationale"": ""Combining Breton words 'digelezh' (digital) and 'lennegezh' (humanities)""}","llama3.1","2026-04-19T00:23:39.009178Z","953493875.0","76482417.0","73.0","297385125.0","49.0","565599210.0","stop","Digelezhioù Lennegezh","Combining Breton words 'digelezh' (digital) and 'lennegezh' (humanities)","[{'translated_term': 'Digelezhioù Lennegezh', 'translation_rationale': ""Combining Breton words 'digelezh' (digital) and 'lennegezh' (humanities)""}]","Digelezhioù Lennegezh","","","Indo-European languages"
"bi","","Bislama","Digital Humanities","","2026-04-18 19:23:29","True","","False","Ol Fasin Blong Man We Oli No Isi","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Bislama (ISO code: bi). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Humenaiti Bilin"",
  ""translation_rationale"": ""Bislama is a creole language spoken in Vanuatu, composed of elements from English, French and indigenous languages. 'Digital Humanities' combines elements from both 'digital', which comes from English, and 'Humanities', which has a basis in the Latin word 'humanitas'. The translation maintains these linguistic roots.""
}","llama3.1","2026-04-19T00:23:29.120259Z","1467144666.0","72034875.0","74.0","308224625.0","88.0","1061281757.0","stop","Humenaiti Bilin","Bislama is a creole language spoken in Vanuatu, composed of elements from English, French and indigenous languages. 'Digital Humanities' combines elements from both 'digital', which comes from English, and 'Humanities', which has a basis in the Latin word 'humanitas'. The translation maintains these linguistic roots.","[]","","","","Austronesian languages"
"bg","","Bulgarian","Digital Humanities","","2026-04-18 19:23:22","False","Дигитални хуманитарни науки","False","(Средредредредредредредредредредредредредредредредредредредредредредредредредредредредредредредредредредредредредред","False","Дигитални хуманитарни науки","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Bulgarian (ISO code: bg). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Дигитални умението"",
  ""translation_rationale"": ""Linguistic combination of 'digital' and 'humanities'""
}","llama3.1","2026-04-19T00:23:22.336268Z","841847416.0","82543333.0","72.0","301663333.0","39.0","445755913.0","stop","Дигитални умението","Linguistic combination of 'digital' and 'humanities'","[]","","","","Indo-European languages"
"be-x-old","","Belarusian (Taraškievica)","Digital Humanities","","2026-04-18 19:23:19","False","Лічбавыя гуманітарныя навукі","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Belarusian (Taraškievica) (ISO code: be-x-old). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Гуманітарныя тэхналогіі"",
  ""translation_rationale"": ""The term \""Digital Humanities\"" is translated into Belarusian by combining the words for 'digital' (Тэхналогіі) and 'humanities' (Гуманітарныя), following the existing terminology in Belarusian language.""
}","llama3.1","2026-04-19T00:23:19.468778Z","1346510791.0","66430041.0","83.0","298052166.0","82.0","953393543.0","stop","Гуманітарныя тэхналогіі","The term ""Digital Humanities"" is translated into Belarusian by combining the words for 'digital' (Тэхналогіі) and 'humanities' (Гуманітарныя), following the existing terminology in Belarusian language.","[]","","","","Indo-European languages"
"be","","Belarusian","Digital Humanities","","2026-04-18 19:23:16","False","Лічбавыя гуманітарныя навукі","True","","False","Лічбавыя гуманітарныя навукі","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Belarusian (ISO code: be). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Дыджітальныя гуманітарыі"",
  ""translation_rationale"": ""Literal translation of the phrase, combining 'дыджітальныя' (digital) with 'гуманітарыі' (humanities)""
}","llama3.1","2026-04-19T00:23:16.097062Z","1098157708.0","85602500.0","73.0","302683584.0","60.0","692377787.0","stop","Дыджітальныя гуманітарыі","Literal translation of the phrase, combining 'дыджітальныя' (digital) with 'гуманітарыі' (humanities)","[]","","","","Indo-European languages"
"bcl","","Bikol","Digital Humanities","","2026-04-18 19:23:12","False","Digital Humanities","False","Mga Pag - eksister nin Tawo","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Bikol (ISO code: bcl). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Agham Digital"",
  ""translation_rationale"": ""adopted from English and Filipino equivalent, 'Agham' means 'science' or 'knowledge'""
}","llama3.1","2026-04-19T00:23:12.975135Z","892278750.0","81466458.0","74.0","322718625.0","42.0","475647792.0","stop","Agham Digital","adopted from English and Filipino equivalent, 'Agham' means 'science' or 'knowledge'","[]","","","","Austronesian languages"
"bat-smg","","Samogitian","Digital Humanities","","2026-04-18 19:23:10","True","","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Samogitian (ISO code: bat-smg). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""Daugieliškuo žemės mokslų"", ""translation_rationale"": ""Literally 'many disciplines earth sciences', combining \""digital\"" and \""humanities\"" in a way that is faithful to the Samogitian language's grammatical structure.""}","llama3.1","2026-04-19T00:23:10.06241Z","1145338583.0","95419208.0","76.0","298337417.0","64.0","733408297.0","stop","Daugieliškuo žemės mokslų","Literally 'many disciplines earth sciences', combining ""digital"" and ""humanities"" in a way that is faithful to the Samogitian language's grammatical structure.","[{'translated_term': 'Daugieliškuo žemės mokslų', 'translation_rationale': 'Literally \'many disciplines earth sciences\', combining ""digital"" and ""humanities"" in a way that is faithful to the Samogitian language\'s grammatical structure.'}]","Daugieliškuo žemės mokslų","","","Indo-European languages"
"ba","","Bashkir","Digital Humanities","","2026-04-18 19:23:06","False","Һанлы гуманитар фәндәр","True","","True","","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Bashkir (ISO code: ba). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{""translated_term"": ""\u0414\u0438\u0433\u0438\u0442\u0430\u043b\u044c\u043d\u044b\u0439 \\u0423\u043c\u0432\u0435\u0441\u0442\u0432"", ""translation_rationale"": ""Combining the two parts of the term, 'Digital' and 'Humanities', and translating them directly into Bashkir""}","llama3.1","2026-04-19T00:23:06.890268Z","1464258792.0","66844208.0","73.0","301827458.0","93.0","1070931331.0","stop","Дигитальный \u0423мвеств","Combining the two parts of the term, 'Digital' and 'Humanities', and translating them directly into Bashkir","[{'translated_term': 'Дигитальный \\u0423мвеств', 'translation_rationale': ""Combining the two parts of the term, 'Digital' and 'Humanities', and translating them directly into Bashkir""}]","Дигитальный \u0423мвеств","","","Altaic languages"
"az","","Azerbaijani","Digital Humanities","Rəqəmsal humanitar elmlər","2026-04-18 19:23:03","False","Rəqəmsal Humanitar Elmlər","False","İnsaniyyətləri","False","Rəqəmsal humanitar elmlər","False","You are a Digital Humanities scholar who speaks many languages.","Translate 'Digital Humanities' into Azerbaijani (ISO code: az). IMPORTANT: Return ONLY valid JSON with no other text. Use this exact format: {""translated_term"": ""your translation"", ""translation_rationale"": ""brief reason""}","{
  ""translated_term"": ""Dijital İnsaniyyət"",
  ""translation_rationale"": ""A combination of Azerbaijani words for 'digital' (dijital) and 'humanities' (insaniyyət)""
}","llama3.1","2026-04-19T00:23:03.402314Z","1037877291.0","83803791.0","74.0","303014833.0","54.0","634647167.0","stop","Dijital İnsaniyyət","A combination of Azerbaijani words for 'digital' (dijital) and 'humanities' (insaniyyət)","[]","","","","Altaic languages"
