language_code,term,language_name,term_source,wikipedia_translated_term,coding_dh_date,exclude_google_cloud_translate,gt_translated_term,exclude_easynmt,enmt_translated_term,exclude_lingvanex,lingvanex_translated_term,exclude_ollama,ollama_content,ollama_model,ollama_created_at,ollama_total_duration,ollama_load_duration,ollama_prompt_eval_count,ollama_prompt_eval_duration,ollama_eval_count,ollama_eval_duration,ollama_done_reason,ollama_translated_term,ollama_translation_rationale,ollama_extracted_dictionaries,ollama_translation,exclude_openai,openai_translated_term,openai_completion_tokens,openai_created,openai_finish_reason,openai_model,openai_prompt_tokens,openai_total_tokens,openai_translation_rationale,openai_translation,exclude_claude,claude_translated_term,claude_translation_rationale,claude_model,claude_stop_reason,claude_created,claude_total_tokens,claude_input_tokens,claude_output_tokens
fi,Digitaaliset ihmistieteet,Finnish,Digital Humanities,Digitaaliset ihmistieteet,2026-04-03 17:06:23,False,Digitaaliset humanistiset tieteet,False,Digitaaliset humanistiset tieteet,False,Digitaaliset humanistiset tieteet,False,"{
  ""translated_term"": ""Digitaalisen humanistikan"",
  ""translation_rationale"": ""Termiä on käytetty suomenkielisessä kontekstissa, jossa siihen viitataan yleensä englanninkielisten termejämme käännöksinä""
}",llama3.1,2026-04-03T21:40:52.235737Z,1276879917.0,82913000.0,72.0,291327375.0,74.0,879856214.0,stop,Digitaalisen humanistikan,"Termiä on käytetty suomenkielisessä kontekstissa, jossa siihen viitataan yleensä englanninkielisten termejämme käännöksinä",[],,False,digitaalinen humanistiset tieteet,58.0,1775244739.0,stop,gpt-4o-2024-08-06,68.0,126.0,"The term 'Digital Humanities' is translated into Finnish by combining 'digitaalinen', meaning 'digital', with 'humanistiset tieteet', meaning 'humanities'.",,False,digitaaliset humanistiset tieteet,"This is the standard Finnish translation for Digital Humanities, commonly used in Finnish academic contexts. It directly translates the concept of humanities disciplines that use digital methods and tools.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:06:23.428855,135.0,72.0,63.0
ff,,Fula,Digital Humanities,,2026-04-03 17:06:20,False,Neɗɗaŋke Dijital,True,,False,,False,"{""translated_term"": ""Tegi digital humanities"", ""translation_rationale"": ""Combination of 'tegi' (digital) and the English term 'Humanities'""}",llama3.1,2026-04-03T22:04:05.146745Z,812250583.0,75799833.0,73.0,300844208.0,37.0,424443876.0,stop,Tegi digital humanities,Combination of 'tegi' (digital) and the English term 'Humanities',"[{'translated_term': 'Tegi digital humanities', 'translation_rationale': ""Combination of 'tegi' (digital) and the English term 'Humanities'""}]",Tegi digital humanities,False,Tawadaaji Digitannde,64.0,1775244737.0,stop,gpt-4o-2024-08-06,69.0,133.0,"In Fula, 'Tawadaaji' refers to 'Humanities', and 'Digitannde' means 'Digital'. This reflects the combination of technology with humanistic studies.",,False,Duɗal Nokkuuji Dijital,"Direct translation where 'Duɗal' means humanities/human knowledge, 'Nokkuuji' means sciences/studies, and 'Dijital' is the borrowed term for digital, following Fula's pattern of adapting technical terms.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:06:20.325631,163.0,74.0,89.0
fa,,Persian,Digital Humanities,علوم انسانی دیجیتال,2026-04-03 17:06:12,False,علوم انسانی دیجیتال,True,,False,علوم انسانی دیجیتال,False,"{""translated_term"": ""\u0627\u062f\u0648\u06cc\u062a \u0627\u062e\u062b\u0631\u0627\u06af\u06cc \u062f\u062a\u062e\u0627\u0628\u06cc"", ""translation_rationale"": ""Digital Humanities""}",llama3.1,2026-04-03T21:40:45.665195Z,1301992459.0,85537459.0,72.0,316687208.0,72.0,878391880.0,stop,ادویت اخثراگی دتخابی,Digital Humanities,"[{'translated_term': 'ادویت اخثراگی دتخابی', 'translation_rationale': 'Digital Humanities'}]",ادویت اخثراگی دتخابی,False,علوم انسانی دیجیتال,59.0,1775244503.0,stop,gpt-4o-2024-08-06,68.0,127.0,"The term is translated by converting 'Digital' to 'دیجیتال' and 'Humanities' to 'علوم انسانی', which are the standard equivalents used in Persian academic and professional contexts.",,False,علوم انسانی دیجیتال,Direct translation where 'علوم انسانی' means 'humanities' and 'دیجیتال' is the Persian adaptation of 'digital'. This is the standard term used in Persian academic contexts.,claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:06:12.421444,151.0,72.0,79.0
eu,,Basque,Digital Humanities,Humanitate digitalak,2026-04-03 17:06:08,False,Humanitate Digitalak,False,Gizatasun digitalak,False,Humanitate Digitalak,False,"{
  ""translated_term"": ""Arte Digitaleko ikaskuntzak"",
  ""translation_rationale"": ""Translation of 'Digital Humanities' using Basque equivalents for 'digital' (elektriko) and 'humanities' (ikaskuntza)""
}",llama3.1,2026-04-03T21:40:42.349924Z,1084507209.0,85924750.0,73.0,291052667.0,58.0,688933459.0,stop,Arte Digitaleko ikaskuntzak,Translation of 'Digital Humanities' using Basque equivalents for 'digital' (elektriko) and 'humanities' (ikaskuntza),[],,False,Humanitate Digitalak,69.0,1775244268.0,stop,gpt-4o-2024-08-06,69.0,138.0,"In Basque, 'Humanitate Digitalak' captures the meaning of 'Digital Humanities' by combining 'Humanitate', meaning 'Humanities', and 'Digitalak', meaning 'Digital'. The adjective follows the noun in Basque structure.",,False,Giza Zientzien Informatika,"Standard Basque translation combining 'Giza Zientziak' (Humanities) with 'Informatika' (Computing/Digital), reflecting the interdisciplinary nature of Digital Humanities as commonly used in Basque academic contexts.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:06:08.571072,156.0,74.0,82.0
et,,Estonian,Digital Humanities,Digihumanitaaria,2026-04-03 17:06:04,False,Digitaalsed humanitaarteadused,False,Digitaalsed humanitaarteadused,False,Digitaalhumanitaaria,False,"{
  ""translated_term"": ""Digitaalne humanitaaria"",
  ""translation_rationale"": ""Combining 'digitaalne' (digital) and 'humanitaaria' (humanities)""
}",llama3.1,2026-04-03T21:40:39.247377Z,926456166.0,79754291.0,73.0,299755709.0,44.0,531375212.0,stop,Digitaalne humanitaaria,Combining 'digitaalne' (digital) and 'humanitaaria' (humanities),[],,False,digihumanitaaria,84.0,1775244730.0,stop,gpt-4o-2024-08-06,69.0,153.0,"The term 'digihumanitaaria' combines the Estonian word for 'digital' ('digi') with 'humanitaaria', a derivative of 'humanitaarteadused', which means 'humanities'. This reflects the interdisciplinary nature of Digital Humanities, integrating digital technology into the study of humanities.",,False,digitaalhumanitaaria,"This is the standard Estonian term for Digital Humanities, formed by combining 'digitaal' (digital) with 'humanitaaria' (humanities), following Estonian compound word formation patterns commonly used in academic contexts.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:06:04.556643,142.0,72.0,70.0
es,Humanidades digitales,Spanish; Castilian,Digital Humanities,Humanidades digitales,2026-04-03 17:06:01,False,Humanidades digitales,False,Humanidades digitales,False,Humanidades digitales,False,"{
  ""translated_term"": ""Humanidades Digitales"",
  ""translation_rationale"": ""Direct translation of 'Digital Humanities' into Spanish, combining the adjective 'digital' with the noun 'humanities'""
}",llama3.1,2026-04-03T21:40:36.302446Z,917583417.0,76674292.0,75.0,311938250.0,44.0,514414749.0,stop,Humanidades Digitales,"Direct translation of 'Digital Humanities' into Spanish, combining the adjective 'digital' with the noun 'humanities'",[],,False,Humanidades Digitales,58.0,1775244556.0,stop,gpt-4o-2024-08-06,71.0,129.0,The translation directly reflects the equivalent terms in Spanish for 'Digital' (Digitales) and 'Humanities' (Humanidades). This is the standard term used in Spanish-speaking academia.,,False,Humanidades Digitales,"This is the standard and widely accepted translation in Castilian Spanish, used in academic institutions and publications throughout Spain and Latin America.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:06:01.506008,126.0,76.0,50.0
eo,,Esperanto,Digital Humanities,,2026-04-03 17:05:58,False,Ciferecaj Homstudoj,False,Ciferecaj homoj,False,Ciferecaj Homaroj,False,"{
  ""translated_term"": ""Digiĉumanitarismo"",
  ""translation_rationale"": ""Combining 'digital' and 'humanities' in Esperanto, resulting in a single word that combines the two concepts.""
}",llama3.1,2026-04-03T21:40:33.370203Z,979923375.0,81331209.0,73.0,294571292.0,49.0,586781833.0,stop,Digiĉumanitarismo,"Combining 'digital' and 'humanities' in Esperanto, resulting in a single word that combines the two concepts.",[],,False,Reta Humanecscienco,114.0,1775244724.0,stop,gpt-4o-2024-08-06,68.0,182.0,"The term 'Digital Humanities' combines 'digital' (related to technology or the internet) and 'humanities' (the study of human culture). In Esperanto, 'reta' is used for digital or internet-related terms, while 'humanecscienco' is a constructed Esperanto term combining 'humaneco' (humanity) with 'scienco' (science), reflecting the academic study of human cultures through digital means.",,False,Ciferecaj Homscienkoj,"Combines 'cifereca' (digital) with 'homscienkoj' (humanities), following Esperanto's standard compound word formation for academic disciplines.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:05:58.786213,138.0,75.0,63.0
en,Digital Humanities,English,Digital Humanities,digital humanities,2026-04-03 17:05:55,False,Digital Humanities,True,,False,Digital Humanities,False,"{
  ""translated_term"": ""Humanités numériques"",
  ""translation_rationale"": ""Literal translation from French, combining 'numérique' (digital) and 'humanités' (humanities)""
}",llama3.1,2026-04-03T21:40:30.379403Z,889616291.0,73206875.0,72.0,294346708.0,44.0,508289671.0,stop,Humanités numériques,"Literal translation from French, combining 'numérique' (digital) and 'humanités' (humanities)",[],,False,Digital Humanities,55.0,1775244323.0,stop,gpt-4o-2024-08-06,68.0,123.0,The term 'Digital Humanities' is already in English and widely recognized in academic and professional contexts as a field that combines the use of digital technologies with the humanities disciplines.,,False,Digital Humanities,"The term is already in English, referring to the interdisciplinary field that uses computational and digital tools for humanities research.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:05:55.232252,128.0,72.0,56.0
el,,"Greek, Modern",Digital Humanities,Ψηφιακές Ανθρωπιστικές Επιστήμες,2026-04-03 17:05:52,False,Ψηφιακές Ανθρωπιστικές Επιστήμες,False,Ψηφιακές Ανθρωπιστικές Επιστήμες,False,Ψηφιακές Ανθρωπιστικές Επιστήμες,False,"{
  ""translated_term"": ""Διγλωσκοί Εικαστική Ανθρωπολογία"",
  ""translation_rationale"": ""Combination of \""Δίγλωσσο\"" (digital) and \""Ανθρωπολογία\"" (humanities)""
}",llama3.1,2026-04-03T21:40:27.480615Z,1105045875.0,81074375.0,74.0,335400083.0,57.0,670053336.0,stop,Διγλωσκοί Εικαστική Ανθρωπολογία,"Combination of ""Δίγλωσσο"" (digital) and ""Ανθρωπολογία"" (humanities)",[],,False,Ψηφιακές Ανθρωπιστικές Επιστήμες,68.0,1775244350.0,stop,gpt-4o-2024-08-06,70.0,138.0,"The term 'Digital Humanities' is translated to 'Ψηφιακές Ανθρωπιστικές Επιστήμες' in Modern Greek, reflecting the combination of digital technologies and methodologies with humanities scholarship.",,False,Ψηφιακές Ανθρωπιστικές Επιστήμες,"This is the standard Modern Greek translation, where 'Ψηφιακές' means 'Digital' and 'Ανθρωπιστικές Επιστήμες' means 'Humanities' or 'Humanistic Sciences', commonly used in Greek academic contexts.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:05:52.301382,186.0,74.0,112.0
ee,,Ewe,Digital Humanities,,2026-04-03 17:05:48,False,Digitál Amegbetɔŋutinunya,False,Internet Dzi Nu Siwo Gbɔ Míaƒe Ŋutete Ŋu Tsoe,False,,False,"{
  ""translated_term"": ""Gbeŋɔ la Gbegese"",
  ""translation_rationale"": ""The term 'Digital Humanities' is translated into Ewe by combining the concepts of 'digital' (which can be expressed as 'Gbeŋɔ', related to computers and technology) with 'humanities' (approximated by 'la Gbegese', which refers to knowledge, wisdom, or humanities in a broad sense).""
}",llama3.1,2026-04-03T21:40:24.36228Z,1545654000.0,81308375.0,73.0,300327167.0,96.0,1133627381.0,stop,Gbeŋɔ la Gbegese,"The term 'Digital Humanities' is translated into Ewe by combining the concepts of 'digital' (which can be expressed as 'Gbeŋɔ', related to computers and technology) with 'humanities' (approximated by 'la Gbegese', which refers to knowledge, wisdom, or humanities in a broad sense).",[],,False,Digital Humanities,92.0,1775244718.0,stop,gpt-4o-2024-08-06,69.0,161.0,"The term 'Digital Humanities' is often used in its English form across various languages, including Ewe, especially in academic and technological contexts where direct translations might not yet be standardized or widely recognized. This term refers to an interdisciplinary field at the intersection of digital technologies and the humanities, which may not have a distinct or widely-used equivalent in Ewe.",,False,Dijitɔl Ameŋutinunya,"Combines 'Dijitɔl' (Digital, from English loanword) and 'Ameŋutinunya' (Humanities, from 'ameŋuti' meaning human/humanity and 'nya' meaning knowledge/matters)",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:05:48.298205,165.0,74.0,91.0
dz,,Dzongkha,Digital Humanities,,2026-04-03 17:05:44,False,དྲ་རྒྱའི་མི་རིགས།,True,,False,,False,"{""translated_term"": ""Tshod phug pa'i gzheng lugs"", ""translation_rationale"": ""Digital Humanities is translated by combining the Dzongkha words for \""digit\"" (tshod phug pa) and \""humanities\"" (gzheng lugs). In this translation, tshod phug pa refers to digital in a broad sense, encompassing technology and computers. gzheng lugs is a loanword from the English word 'humanities', referring to academic disciplines like literature, history, and philosophy.""}",llama3.1,2026-04-03T21:40:20.802352Z,1822880583.0,76504333.0,76.0,336874208.0,116.0,1376244827.0,stop,Tshod phug pa'i gzheng lugs,"Digital Humanities is translated by combining the Dzongkha words for ""digit"" (tshod phug pa) and ""humanities"" (gzheng lugs). In this translation, tshod phug pa refers to digital in a broad sense, encompassing technology and computers. gzheng lugs is a loanword from the English word 'humanities', referring to academic disciplines like literature, history, and philosophy.","[{'translated_term': ""Tshod phug pa'i gzheng lugs"", 'translation_rationale': 'Digital Humanities is translated by combining the Dzongkha words for ""digit"" (tshod phug pa) and ""humanities"" (gzheng lugs). In this translation, tshod phug pa refers to digital in a broad sense, encompassing technology and computers. gzheng lugs is a loanword from the English word \'humanities\', referring to academic disciplines like literature, history, and philosophy.'}]",Tshod phug pa'i gzheng lugs,False,ཨང་རྩོལ་ནང་དེབ་རྩོམ་པ།,143.0,1775244715.0,stop,gpt-4o-2024-08-06,71.0,214.0,"The term 'Digital Humanities' in Dzongkha combines the word for digital technology ('ཨང་རྩོལ') and a phrase for scholarly study or literature ('ནང་དེབ་རྩོམ་པ།'). Due to the traditional nature of the language, borrowing words from modern terms and adapting them to the local linguistic context is a common practice.",,False,ཌི་ཇི་ཊལ་མི་རིགས་རིག་གནས,"Combines 'digital' (ཌི་ཇི་ཊལ་) as a loanword with 'humanities' (མི་རིགས་རིག་གནས་ meaning human knowledge/sciences), following standard Dzongkha terminology conventions for modern academic fields.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:05:44.642234,198.0,77.0,121.0
dv,,Divehi; Maldivian;,Digital Humanities,,2026-04-03 17:05:38,False,ދިރާގު ހިއުމަނިޓީސް އެވެ,True,,False,,False,"{
  ""translated_term"": ""Dijitaila Nātikas"",
  ""translation_rationale"": ""Combining the Maldivian loanword 'dijital' (digital) with the English-derived term 'Humanities'""
}",llama3.1,2026-04-03T21:40:16.9673Z,968906625.0,83393458.0,78.0,284614250.0,51.0,585167294.0,stop,Dijitaila Nātikas,Combining the Maldivian loanword 'dijital' (digital) with the English-derived term 'Humanities',[],,False,ޑިޖިޓަލް ހިއުލާންޑާ,105.0,1775244711.0,stop,gpt-4o-2024-08-06,74.0,179.0,"The term 'Digital Humanities' is translated by combining 'digital', referring to digital or electronic technology, with 'humanities', which refers to academic disciplines that study aspects of human society and culture. The translation maintains the structure and meaning of the original term.",,False,ޑިޖިޓަލް އިންސާނީ ދިރާސާތައް,Direct translation where 'ޑިޖިޓަލް' (Digital) is a loanword in Thaana script and 'އިންސާނީ ދިރާސާތައް' means 'Humanities/Human Studies' in Divehi,claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:05:38.378906,199.0,83.0,116.0
de,digitale Geisteswissenschaften,German,Digital Humanities,Digital Humanities,2026-04-03 17:05:33,False,Digitale Geisteswissenschaften,False,Digitale Geisteswissenschaften,False,Digitale Geisteswissenschaften,False,"{""translated_term"": ""Digitale Geisteswissenschaften"", ""translation_rationale"": ""Term coined in English, refers to the intersection of humanities and digital technology; translated literally into German""}",llama3.1,2026-04-03T21:40:13.985915Z,836415166.0,81527458.0,72.0,284788375.0,40.0,457450624.0,stop,Digitale Geisteswissenschaften,"Term coined in English, refers to the intersection of humanities and digital technology; translated literally into German","[{'translated_term': 'Digitale Geisteswissenschaften', 'translation_rationale': 'Term coined in English, refers to the intersection of humanities and digital technology; translated literally into German'}]",Digitale Geisteswissenschaften,False,Digitale Geisteswissenschaften,70.0,1775244708.0,stop,gpt-4o-2024-08-06,68.0,138.0,"The term 'Digitale Geisteswissenschaften' reflects the translation of 'Digital' to 'Digitale' and 'Humanities' to 'Geisteswissenschaften', which is the German equivalent for academic disciplines that study aspects of human society and culture.",,False,Digital Humanities,"The term 'Digital Humanities' is used as-is in German academic contexts, as it has been adopted as the standard term without translation. Alternatively, 'Digitale Geisteswissenschaften' exists but 'Digital Humanities' is more commonly used.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:05:33.618415,152.0,72.0,80.0
da,,Danish,Digital Humanities,,2026-04-03 17:05:30,False,Digitale humaniora,False,Digitale humaniora,False,Digital humaniora,False,"{
  ""translated_term"": ""Digitale humaniora"",
  ""translation_rationale"": ""Direct translation of the phrase, combining 'digitale' (digital) and 'humaniora' (humanities)""
}",llama3.1,2026-04-03T21:40:11.136998Z,903995250.0,84098625.0,72.0,281525416.0,46.0,524712711.0,stop,Digitale humaniora,"Direct translation of the phrase, combining 'digitale' (digital) and 'humaniora' (humanities)",[],,False,Digital Humaniora,70.0,1775244706.0,stop,gpt-4o-2024-08-06,68.0,138.0,"The term 'Digital Humanities' in Danish is translated as 'Digital Humaniora'. This translation maintains the original meaning, with 'Digital' remaining the same due to its universal application and 'Humaniora' being the Danish equivalent of 'Humanities'.",,False,Digital humaniora,"Standard Danish term for Digital Humanities, where 'humaniora' is the Danish word for humanities and 'digital' remains the same in Danish",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:05:30.116547,125.0,72.0,53.0
cy,Dyniaethau digidol,Welsh,Digital Humanities,Dyniaethau digidol,2026-04-03 17:05:26,False,Dyniaethau Digidol,False,"Person UnigolCity name (optional, probably does not need a translation)",False,Dyniaethau Digidol,False,"{
  ""translated_term"": ""Ddigiteithrwydd Dynatigrwydd"",
  ""translation_rationale"": ""Combining the Welsh word 'ddigiteithrwydd' (digital) with the subject term 'Dynatigrwydd' (Humanities)""
}",llama3.1,2026-04-03T21:40:08.220271Z,1096328666.0,85110250.0,72.0,282030958.0,61.0,711296247.0,stop,Ddigiteithrwydd Dynatigrwydd,Combining the Welsh word 'ddigiteithrwydd' (digital) with the subject term 'Dynatigrwydd' (Humanities),[],,False,Dyniaethau Digidol,61.0,1775244617.0,stop,gpt-4o-2024-08-06,68.0,129.0,"The term 'Digital Humanities' is translated to 'Dyniaethau Digidol' in Welsh, where 'Dyniaethau' means 'Humanities' and 'Digidol' means 'Digital'.",,False,Dyniaethau Digidol,Direct translation where 'Dyniaethau' is the Welsh plural for 'Humanities' and 'Digidol' is the standard Welsh term for 'Digital',claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:05:26.642042,136.0,72.0,64.0
cv,,Chuvash,Digital Humanities,,2026-04-03 17:05:23,False,Цифра гуманитари,True,,False,,False,"{
  ""translated_term"": ""Çĕнтерӳ вулавăшăмлакилĕ"",
  ""translation_rationale"": ""Using the Chuvash word for 'digital' (çĕнтерӳ) and 'humanities' (вулавăшăмлакилĕ)""
}",llama3.1,2026-04-03T21:40:05.111093Z,1242051667.0,81738334.0,74.0,281408958.0,73.0,857314003.0,stop,Çĕнтерӳ вулавăшăмлакилĕ,Using the Chuvash word for 'digital' (çĕнтерӳ) and 'humanities' (вулавăшăмлакилĕ),[],,False,Цифрав иккили,79.0,1775244702.0,stop,gpt-4o-2024-08-06,70.0,149.0,"The term 'Цифрав иккили' is a translation of 'Digital Humanities' where 'Цифрав' means 'digital' and 'иккили' means 'humanities', capturing the concept of using digital technologies in the study of humanities within the Chuvash language context.",,False,Цифралă гуманитарлă ăслăлăх,"Combines 'цифралă' (digital) with 'гуманитарлă ăслăлăх' (humanitarian sciences/studies), following Chuvash grammatical structure for compound academic terms.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:05:23.532707,161.0,75.0,86.0
cu,,Old Church Slavonic,Digital Humanities,,2026-04-03 17:05:19,True,,True,,False,,False,"{
  ""translated_term"": ""Богословска цифровая культура"",
  ""translation_rationale"": ""I used the words 'богословска' (relating to theology) and 'цифровая культура' (digital culture), as they are a close equivalent to the English term 'Digital Humanities'.""
}",llama3.1,2026-04-03T21:40:01.85033Z,1234888459.0,84118042.0,75.0,282660958.0,73.0,846051460.0,stop,Богословска цифровая культура,"I used the words 'богословска' (relating to theology) and 'цифровая культура' (digital culture), as they are a close equivalent to the English term 'Digital Humanities'.",[],,False,Цифроумьна человѣчьство,102.0,1775244699.0,stop,gpt-4o-2024-08-06,71.0,173.0,"The term 'Цифроумьна' is derived from 'цифра', meaning 'digital', and 'умьна', pertaining to knowledge or intellect, understandable in the context of Old Church Slavonic. 'Человѣчьство' denotes humanity, encompassing both the technical and humanistic aspects of the digital humanities field.",,False,Чисмьнаꙗ Чловѣчьскꙑꙗ Хитрости,"Using 'чисмьнаꙗ' (relating to numbers/digits) for 'digital', 'чловѣчьскꙑꙗ' (human/humanistic) for 'humanities', and 'хитрости' (arts/sciences/skills) as the noun, following OCS grammatical patterns with adjectives in genitive feminine plural modifying the noun.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:05:19.515384,217.0,76.0,141.0
cs,,Czech,Digital Humanities,Digitální humanitní vědy,2026-04-03 17:05:14,False,Digitální humanitní vědy,False,Digitální humanity,False,Digitální humanitní vědy,False,"{
  ""translated_term"": ""Digitální humanitní vedy"",
  ""translation_rationale"": ""Combining 'digitální' (digital) and 'humanitní vedy' (humanities)""
}",llama3.1,2026-04-03T21:39:58.601269Z,868100625.0,85392708.0,72.0,280978500.0,43.0,488982329.0,stop,Digitální humanitní vedy,Combining 'digitální' (digital) and 'humanitní vedy' (humanities),[],,False,digitální humanitní vědy,73.0,1775244697.0,stop,gpt-4o-2024-08-06,68.0,141.0,"The term 'Digital Humanities' is translated into Czech as 'digitální humanitní vědy' because 'digitální' means 'digital' and 'humanitní vědy' refers to the humanities or human sciences, capturing the interdisciplinary nature of the field.",,False,digitální humanitní vědy,"This is the standard Czech translation for Digital Humanities, where 'digitální' means digital and 'humanitní vědy' means humanities/human sciences. This term is widely used in Czech academic contexts.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:05:14.223652,141.0,72.0,69.0
cr,,Cree,Digital Humanities,,2026-04-03 17:05:11,True,,True,,False,,False,"{""translated_term"": ""Tatitânôwak kâkikâtowin"", ""translation_rationale"": ""Composition numérique, combining the Cree word for 'digital' (tatitânôwak) with a phrase indicating its focus on humanities research (kâkikâtowin), which roughly translates to 'study of human things'. The term combines elements from the language to convey a concept that doesn't exist in traditional Cree vocabulary.""}",llama3.1,2026-04-03T21:39:55.721408Z,1483979541.0,86300208.0,72.0,283223625.0,94.0,1087832579.0,stop,Tatitânôwak kâkikâtowin,"Composition numérique, combining the Cree word for 'digital' (tatitânôwak) with a phrase indicating its focus on humanities research (kâkikâtowin), which roughly translates to 'study of human things'. The term combines elements from the language to convey a concept that doesn't exist in traditional Cree vocabulary.","[{'translated_term': 'Tatitânôwak kâkikâtowin', 'translation_rationale': ""Composition numérique, combining the Cree word for 'digital' (tatitânôwak) with a phrase indicating its focus on humanities research (kâkikâtowin), which roughly translates to 'study of human things'. The term combines elements from the language to convey a concept that doesn't exist in traditional Cree vocabulary.""}]",Tatitânôwak kâkikâtowin,False,ᐋᓂᔑᔪᐦᐃᑲᓇ ᒪᐡᑳ,111.0,1775244695.0,stop,gpt-4o-2024-08-06,68.0,179.0,"The term 'ᐋᓂᔑᔪᐦᐃᑲᓇ' refers to 'digital' and 'ᒪᐡᑳ' refers to 'humanities', combining to denote the field of Digital Humanities.",,False,ᑎᒋᑕᓪ ᐊᔨᒥᐧᐃᓐ,"This combines the transliteration of 'digital' (ᑎᒋᑕᓪ) with 'ayimiwin' (ᐊᔨᒥᐧᐃᓐ) meaning knowledge/teachings in Cree, representing the study of humanities in digital form.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:05:11.220415,201.0,74.0,127.0
co,,Corsican,Digital Humanities,,2026-04-03 17:05:06,False,Umanità Digitale,True,,False,Umanità digitale,False,"{
  ""translated_term"": ""Umanità Digitali"",
  ""translation_rationale"": ""Combination of Corsican words \""umanità\"" (humanities) and \""digitali\"" (digital)""
}",llama3.1,2026-04-03T21:39:52.223445Z,884765666.0,83144541.0,73.0,277937458.0,44.0,509556881.0,stop,Umanità Digitali,"Combination of Corsican words ""umanità"" (humanities) and ""digitali"" (digital)",[],,False,Umanistiche Digitali,77.0,1775244692.0,stop,gpt-4o-2024-08-06,69.0,146.0,"The term 'Umanistiche Digitali' is the Corsican translation for 'Digital Humanities,' where 'Umanistiche' corresponds to 'Humanities' and 'Digitali' corresponds to 'Digital.' This is based on standard linguistic translation practices from English to Corsican.",,False,Umanità Digitale,"Direct translation following Corsican linguistic patterns, where 'Digital' becomes 'Digitale' (singular feminine) agreeing with 'Umanità' (Humanities), following Italian-influenced Corsican structure.",claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:05:06.221135,147.0,74.0,73.0
ch,,Chamorro,Digital Humanities,,2026-04-03 17:05:02,False,Digital Humanities,True,,False,,False,"{""translated_term"": ""Mannai taotao ni nan-muñaise"", ""translation_rationale"": ""Literally 'man of digital knowledge' or 'person with computer skills', combining Chamorro words for 'digital' (mannai) and 'knowledge/ person' (taotao), and using the Spanish influence on Chamorro to convey the concept of computing.""}",llama3.1,2026-04-03T21:39:49.327744Z,1289071208.0,78840500.0,73.0,280199125.0,79.0,907201581.0,stop,Mannai taotao ni nan-muñaise,"Literally 'man of digital knowledge' or 'person with computer skills', combining Chamorro words for 'digital' (mannai) and 'knowledge/ person' (taotao), and using the Spanish influence on Chamorro to convey the concept of computing.","[{'translated_term': 'Mannai taotao ni nan-muñaise', 'translation_rationale': ""Literally 'man of digital knowledge' or 'person with computer skills', combining Chamorro words for 'digital' (mannai) and 'knowledge/ person' (taotao), and using the Spanish influence on Chamorro to convey the concept of computing.""}]",Mannai taotao ni nan-muñaise,False,Humanidåt Digåtåt,71.0,1775244689.0,stop,gpt-4o-2024-08-06,69.0,140.0,"The term 'Humanidåt Digåtåt' is derived from the Chamorro words 'humanidåt' corresponding to 'humanities' and 'digåtåt' representative of 'digital,' reflecting the integration of humanities with digital technology.",,False,Dinisital na Humanidades,Chamorro commonly borrows Spanish and English terms. 'Dinisital' is the Chamorro adaptation of 'Digital' and 'Humanidades' follows Spanish influence present in Chamorro for academic terms.,claude-sonnet-4-5-20250929,end_turn,2026-04-03T17:05:02.536432,148.0,74.0,74.0
